"VI name";;"string type";;"Key";;"English";;"Russian"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"USER_EDIT_discard.BoolText";;"DISCARD CHANGES";;"(טי)DISCARD CHANGES"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"USER_EDIT_update_barcode.BoolText";;"UPDATE USER BARCODE";;"(טי)UPDATE USER BARCODE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ASC.BoolText";;"ASC";;"(טי)ASC"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"DESC.BoolText";;"DESC";;"(טי)DESC"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_order_by";;"Order by:";;"(טי)Order by:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_discard.BoolText";;"DISCARD CHANGES";;"(טי)DISCARD CHANGES"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_clear_status.BoolText";;"CLEAR STATUS";;"(טי)CLEAR STATUS"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_select.BoolText";;"SELECT";;"(טי)SELECT"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_value";;"Value:";;"(טי)Value:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_table";;"Table:";;"(טי)Table:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_column";;"Column:";;"(טי)Column:"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_insert_update.BoolText";;"INSERT / UPDATE";;"(טי)INSERT / UPDATE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_EDIT_delete.BoolText";;"DELETE";;"(טי)DELETE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_TEXT_execute.BoolText";;"EXECUTE";;"(טי)EXECUTE"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"SQL_TEXT_clear_status.BoolText";;"CLEAR";;"(טי)CLEAR"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"ERRORS_clear.BoolText";;"CLEAR ERRORS";;"(טי)CLEAR ERRORS"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"error_indicator_tab.False";;"OK";;"(טי)OK"
"SQL_CLIENT_MAIN.vi";;"Front Panel";;"error_indicator_tab.True";;"ERROR";;"(טי)ERROR"
"about_window.vi";;"Front Panel";;"OK.BoolText";;"OK";;"(טי)OK"
"custom_picktime.vi";;"Front Panel";;"now.BoolText";;"Set Time to Now";;"(טי)Set Time to Now"
"custom_picktime.vi";;"Front Panel";;"cancel.BoolText";;"Cancel";;"(טי)Cancel"
"custom_picktime.vi";;"Front Panel";;"ok.BoolText";;"OK";;"(טי)OK"
"custom_picktime.vi";;"Front Panel";;"Year";;"Year";;"(טי)Year"
"custom_picktime.vi";;"Front Panel";;"January";;"January";;"(טי)January"
"custom_picktime.vi";;"Front Panel";;"February";;"February";;"(טי)February"
"custom_picktime.vi";;"Front Panel";;"March";;"March";;"(טי)March"
"custom_picktime.vi";;"Front Panel";;"April";;"April";;"(טי)April"
"custom_picktime.vi";;"Front Panel";;"May";;"May";;"(טי)May"
"custom_picktime.vi";;"Front Panel";;"June";;"June";;"(טי)June"
"custom_picktime.vi";;"Front Panel";;"July";;"July";;"(טי)July"
"custom_picktime.vi";;"Front Panel";;"August";;"August";;"(טי)August"
"custom_picktime.vi";;"Front Panel";;"September";;"September";;"(טי)September"
"custom_picktime.vi";;"Front Panel";;"October";;"October";;"(טי)October"
